"Identifier","HCBusinessReferenceModelCode","Activity","Description"
"FFM.010.010",,"Budget Set-Up and Maintenance","Establish budgetary resource reporting attributes; Record appropriated fund subdivisions before any of the appropriated funds are expended; Includes recording appropriation warrants, apportionments, allotments, allowances, allocations, reapportionments, transfer allocations, continuing resolutions, rescissions, and reprogramming actions; Includes setting up direct and reimbursable funding."
"FFM.010.020",,"Fund Allocation and Control","Implement controls designed to detect or prevent overspending for defined accounting segments; Execute statutory limitation control of funds restricting obligations and expenditures to amounts authorized by law; Execute administrative control of funds restricting obligation and expenditure from each account to the lower of the amount apportioned by OMB or the amount available for obligation and/or expenditure; Update funds control rules"
"FFM.010.030",,"Budgetary Reporting","Perform budgetary resource and budget execution analysis; Provide budgetary resource and budget execution information and reports; Verify required budget reports can be traced to general ledger account balances; Includes generating SF-132 and SF-133 and providing information needed for Budget Formulation."
"FFM.020.010",,"Financial Asset Information Processing -  Property, Plant, and Equipment","Record financial asset type, category, value, and value adjustments (e.g., depreciation, impairment); Includes financial asset information processing for purchase and lease transactions, inventory, and software"
"FFM.020.020",,"Financial Asset Information Processing - Loans","Record financial asset type, category, value, and value adjustments (e.g., allowance for uncollectible amounts, subsidy allowance)"
"FFM.020.030",,"Financial Asset Information Processing - Heritage Assets and Stewardship Land","Record financial asset type, category, value, and value adjustments (e.g., depreciation, impairment)"
"FFM.020.040",,"Financial Asset Information Processing - Federal Oil and Gas Resources","Record financial asset type, category, value, and value adjustments"
"FFM.020.050",,"Financial Asset Information Processing - Other Federal Assets","Record financial asset type, category, value, and value adjustments; Includes financial asset information processing for seized and forfeited assets and investments in Treasury securities"
"FFM.020.060",,"Financial Asset Information Reporting","Provide financial asset information for balance sheet and financial statement reporting"
"FFM.030.010",,"Payee Set-up and Maintenance","Establish and maintain Federal and non-Federal payee information"
"FFM.030.020",,"Obligation Management","Record commitments (if applicable); Record obligations; Record receiving report accruals (if applicable); Includes de-commitments/modifications, liquidating commitments, de-obligations/modifications, and liquidating obligations"
"FFM.030.030",,"Payment Processing - Intragovernmental Payments","Record intragovernmental invoices; Route invoices for approval by appropriate party; Provide payment information to execute intragovernmental funds transfers; Confirm payments were settled properly; Record payment adjustments; Includes processing payments for incurred expenses and payments in advance"
"FFM.030.040",,"Payment Processing - Payroll Payments","Record payroll payments generated by payroll service; Reconcile payroll service information with financial management information; Record payment adjustments"
"FFM.030.050",,"Payment Processing - Travel Temporary Duty (TDY) and Local Payments","Record approved vouchers for reimbursement of temporary duty (TDY) and local travel expenditures; Match travel vouchers to authorizing obligation documents; Generate payment transactions; Resolve payment issues; Record payment adjustments; Audit payments; Includes processing payments for E2s and SF-1164s, incurred expenses, and payments in advance"
"FFM.030.060",,"Payment Processing - Travel PCS Payments","Record approved vouchers for travel expenditures related to temporary and permanent change of station (TCS/PCS); Match travel vouchers to authorizing obligation documents; Generate payment transactions; Resolve payment issues; Record payment adjustments; Audit payments; Includes processing payments for incurred expenses and payments in advance"
"FFM.030.070",,"Payment Processing - Commercial Payments","Record receiving reports; Record invoices; Match invoice, order, and receiving report (as appropriate); Route invoices for approval by appropriate party; Generate payment transactions; Resolve invoice and payment issues; Record payment adjustments; Audit payments; Includes processing payments for incurred expenses, payments in advance, and non-travel temporary and permanent change of station (TCS/PCS) costs (e.g., relocation services vendor, household goods shipment)"
"FFM.030.080",,"Payment Processing - Grant Payments","Record requests for grant payment; Match grant payment requests to obligating documents; Route grant payment requests for approval by appropriate party (as appropriate); Generate payment transactions; Resolve payment issues; Record payment adjustments; Audit payments; Includes processing payments for incurred expenses and payments in advance"
"FFM.030.090",,"Payment Processing - Loan Payments","Record requests for loan payment; Match loan payment requests to obligating documents; Route loan payment requests for approval by appropriate party (as appropriate); Generate payment transactions; Resolve payment issues; Record payment adjustments; Audit payments"
"FFM.030.100",,"Payment Processing - Other Payments (Loans, Foreign, and Miscellaneous Payments)","Record receiving reports; Record invoices; Match invoice, order, and receiving report (as appropriate); Route invoices for approval by appropriate party; Complete foreign exchange conversions for foreign payments; Generate payment transactions; Resolve invoice and payment issues; Record payment adjustments; Audit payments; Includes processing payments for incurred expenses and payments in advance"
"FFM.030.110",,"Payment Disbursement","Generate disbursement schedules from payment transactions; Perform quality assurance validations; Certify disbursement schedules; Warehouse disbursement schedules for transmission to Treasury"
"FFM.030.120",,"Payment Confirmation and Issue Resolution","Record disbursement status, confirmation, and identification information; Provide disbursement status, confirmation, and identification information"
"FFM.030.130",,"Payment Reporting","Provide payment transaction and improper payment information to support payment reporting activities; Provide disbursement summary and detail information to support financial reconciliation activities"
"FFM.040.010",,"Revenue Processing","Record Federal Government revenue or other financing source information; Perform revenue reconciliations; Resolve issues; Record revenue adjustments"
"FFM.040.020",,"Revenue Reporting","Provide revenue and other financing sources disclosure and supplementary information for agency and Governmentwide reporting"
"FFM.050.010",,"Reimbursable Agreement Set-up and Maintenance","Establish and maintain Federal and non-Federal payer information; Establish unfilled customer orders (UCO); Establish projects, as appropriate, to accumulate costs; Request advance payments; Includes set-up and maintenance of Interagency Agreements (IAA); Does not include reimbursable agreement negotiations between trading partners of general terms, conditions, and order details"
"FFM.050.020",,"Reimbursable Invoicing","Record costs incurred for delivering goods/services; Generate invoices and customer account statements; Establish receivables; Includes applying cost information when generating invoices"
"FFM.050.030",,"Reimbursable Receipt Processing","Monitor/confirm funds were transferred from Federal agency trading partners; Receive payments from non-Federal trading partners or payment information from Treasury; Record collections and deposits; Match funds transfers/collections to invoices; Includes processing advance payments"
"FFM.050.040",,"Reimbursable Reconciliation","Reconcile reimbursable activity on the orders; Resolve reconciliation issues; Work with trading partner to resolve unsettled invoices; Apply credit memos and adjustments; Assess interest, penalties  and administrative fees; Determine whether to transfer receivable for delinquent debt collection"
"FFM.050.050",,"Reimbursable Closeout","Review orders' financial status to confirm final costs were accumulated and invoiced; Liquidate unfilled customer order balances; For overpayments, generate intragovernmental/miscellaneous payment request; Close orders "
